month,socketdays,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11
20-03,36855,0.6158730158730159,0.49344729344729343,0.3981006647673314,0.3098901098901099,0.2851716185049518,0.2565187898521232,0.2687288020621354,0.2627051960385294,0.2989553656220323,0.2857414190747524,0.2587437254103921,0.2661239994573328
20-05,22892,0.6165909488030753,0.4930106587454132,0.3966014328149572,0.31211777040013977,0.2834177878734929,0.25795037567709245,0.2683907041761314,0.2624060807268915,0.29761488729687224,0.28551459024986897,0.26004717805346844,0.26633758518259654
20-06,53368,0.6174486583720582,0.4939289461849798,0.39926547743966423,0.31159121570978865,0.2835781741867786,0.25562134612501874,0.26804452106131016,0.2622357967321241,0.29768775296057565,0.2857330235347024,0.25953755059211514,0.2653275371008844
20-07,58278,0.6169909742956176,0.4927760046672844,0.39992793163801094,0.31164418820137957,0.2841552558426851,0.25560245718796115,0.2680428291979821,0.2625862246473798,0.2971961975359484,0.28571673701911526,0.25965201276639555,0.2657091870002402
20-08,50634,0.6163249990125212,0.4929494015878659,0.39880317573172175,0.31206304064462614,0.28459138128530237,0.2551645139629498,0.267725243907256,0.26217561322431565,0.2966188726942371,0.2861713473160327,0.26059564719358536,0.26681676343958605
20-09,42413,0.6162733124277934,0.49324499563812985,0.39872208992525876,0.3117204630655695,0.283945959965105,0.2555348595949355,0.2674651639827411,0.2629854054181501,0.2976210124254356,0.28566713036097424,0.2595666423030675,0.26725296489283945
20-10,45015,0.6153726535599244,0.4934133066755526,0.3992002665778074,0.31207375319338,0.28483838720426524,0.2554703987559702,0.2678884816172387,0.2630900810840831,0.2971009663445518,0.28539375763634345,0.2597578584916139,0.26640008885926914
20-11,50850,0.6151229105211407,0.49323500491642086,0.3992920353982301,0.312015732546706,0.2855260570304818,0.25529990167158306,0.268141592920354,0.26340216322517207,0.2972271386430678,0.2849164208456244,0.26,0.2658210422812193
20-12,44522,0.6141907371636495,0.4898701765419343,0.40092538520282106,0.3131036341583936,0.2884192084812003,0.25506491172903284,0.2681146399532815,0.26272404653878983,0.29778536453887966,0.28439872422622525,0.25973675935492563,0.26566641211086656
21-01,45011,0.6144498011597165,0.49150207727000067,0.39816933638443935,0.3124791717580147,0.28672991046633045,0.25509319944013686,0.26800115527315543,0.2640465663948813,0.29763835506876096,0.28537468618782075,0.2605140965541756,0.2660016440425674
21-02,52609,0.612993974415024,0.4906574920640955,0.39803075519397824,0.3126461251877055,0.2860727251991104,0.2557737269288525,0.268243076279724,0.26552491018647,0.297933813606037,0.2862818148985915,0.2602406432359482,0.2656009428044631
21-03,3832,0.6090814196242171,0.4890396659707724,0.397964509394572,0.3155010438413361,0.2852296450939457,0.25600208768267224,0.2695720250521921,0.26696242171189977,0.29879958246346555,0.28653444676409184,0.25913361169102295,0.2661795407098121
21-04,54852,0.612721505141107,0.4898454021731204,0.39911033326040984,0.3132246773134981,0.2850944359367024,0.25521403048202435,0.2686501859549333,0.26628017209946764,0.29794720338365055,0.2859148253482097,0.26061036972216145,0.2653868591847152
21-05,60731,0.612158535179727,0.48892657785974214,0.3995817621972304,0.31369481813242,0.28558726185967626,0.25517445785513165,0.26834730203685103,0.26683242495595333,0.29839785282639836,0.2862953022344437,0.25970262304259767,0.2653010818198284
21-06,56544,0.6121250707413696,0.4895479626485569,0.3998125353706848,0.3133842671194114,0.2855121675155631,0.2550756932654216,0.2681982173174873,0.26710172608941707,0.2980510752688172,0.28652023203169213,0.2597623089983022,0.26490874363327677
21-07,56860,0.6180970805487161,0.4926486106225818,0.4003517411185368,0.31313753077734785,0.28464650017587056,0.2525852972212452,0.26579317622230036,0.26651424551530073,0.2956208230742174,0.28621174815335915,0.25898698557861416,0.26540626099190995
21-08,58710,0.6120081757792539,0.4888264350195878,0.39926758644183274,0.313370805654914,0.2864588656106285,0.2550332141032192,0.2670924885028104,0.2673479816044967,0.2968489184125362,0.28775336399250556,0.25971725430080056,0.2662749105774144
21-09,37194,0.6119266548368016,0.4889229445609507,0.3990966284884659,0.3132494488358337,0.2865515943431736,0.2552024520083884,0.2674356078937463,0.26730117760929184,0.29692961230305964,0.2876539226757004,0.25958487928160456,0.2661450771629833
21-10,54398,0.6116768998860252,0.48863928820912533,0.3990955549836391,0.31326519357329313,0.2868671642339792,0.2549542262583183,0.2675466009779771,0.2672157064597963,0.2967756167506158,0.28754733629912865,0.2598808779734549,0.2665355343946469
21-11,57887,0.6131428472714081,0.48869348903898974,0.39903605299981,0.3126435987354674,0.2867828700744554,0.2541157772902379,0.268074006253563,0.268074006253563,0.2967678407932696,0.2862473439632387,0.26057664069652947,0.26584552662946775
21-12,60493,0.6122691881705321,0.4872795199444564,0.39784768485609906,0.31329244705999043,0.2874216851536541,0.25573206817317706,0.26816325855884154,0.26819632023539913,0.2967450779429025,0.2884631279652191,0.2599639627725522,0.26462565916717634
22-01,60511,0.6113764439523393,0.48675447439308556,0.39799375320189717,0.31316620118656113,0.28755102378080016,0.2563335591875857,0.2683974814496538,0.268331377766026,0.2964419692287353,0.2888069937697278,0.25991968402439225,0.2649270380591959
22-02,54822,0.6113786436102294,0.4870489949290431,0.398653825106709,0.31268468862865273,0.2874940717230309,0.2569041625624749,0.2680493232643829,0.26784867389004413,0.2963773667505746,0.28913574842216627,0.2596402903943672,0.26478421071832475
22-03,60696,0.6116053776196125,0.48711611967839724,0.39831290365098193,0.3125411888757085,0.2874324502438381,0.2567549756161856,0.26784302095689994,0.2678759720574667,0.2966093317516805,0.28927771187557666,0.2598194279688942,0.26481151970475814
22-04,58753,0.612036832161762,0.48748149030687793,0.3982605143567137,0.31259680356747743,0.28723639643933074,0.2566847650332749,0.2675948462206185,0.2677820707027726,0.2964274164723503,0.28938096778036865,0.259663336340272,0.2648545606181812
22-05,58738,0.611818584221458,0.4870611869658483,0.39854949095985565,0.3130852259184855,0.2872927236201437,0.25700568626783343,0.26744186046511625,0.2680036773468623,0.2963498927440498,0.2892335455752664,0.25955939936667916,0.2645987265484014
22-06,54207,0.6092017636098659,0.48698507572822697,0.3977899533270611,0.31352039404504956,0.28778571033261385,0.25742062833213425,0.26823104027155165,0.26791742763849685,0.29676978987953584,0.2896304905270537,0.2602431420296272,0.2645045842787832
22-07,52221,0.6108653606786542,0.4874667279446966,0.39813484996457366,0.31370521437735777,0.2878535455085119,0.25830604546063846,0.2679956339403688,0.26814882901514714,0.29626012523697365,0.28854292334501447,0.25937841098408687,0.26334233354397657
22-08,60687,0.6108392242160594,0.4882429515382207,0.39805889234926756,0.3131807471122316,0.28750803302189926,0.2576334305534958,0.26948110798029234,0.26748727074991346,0.2966697974854582,0.28815067477383954,0.25938009787928223,0.2633677723400399
