gap,r,lo,hi,n
1,0.3428796162646397,0.2744017817589881,0.40551650106270426,23
2,0.2086668695963511,0.13108406744041862,0.28321356141648857,22
3,0.0753036956705674,0.006299775230765339,0.14573014548337299,21
4,-0.020709460078819554,-0.06852606277246881,0.034309107535355675,20
5,-0.06776890622531848,-0.11738929620139334,-0.013435370708576843,19
6,-0.07403315327604035,-0.12553287094803,-0.02076188669088345,18
7,-0.09662768975670737,-0.1458759101807986,-0.04445201656992644,17
8,-0.07447649493611855,-0.12101447997050922,-0.026953530917380425,16
9,-0.13849344802026295,-0.1884098205510688,-0.08821327983970419,15
10,-0.15673463526044656,-0.20464896829573354,-0.10729776363081567,14
11,-0.2226294983104284,-0.2751704460654246,-0.1692200451678222,13
12,-0.2338608641080315,-0.2790329116825186,-0.18897265798528423,12
13,-0.27111706782215594,-0.3162804805736275,-0.22332070760418965,11
14,-0.25859963773771194,-0.29540890662611646,-0.21783796962682622,10
15,-0.2684507206287391,-0.29325366902219946,-0.23685923826219288,9
16,-0.25579393491410246,-0.287061269434707,-0.21109848964258077,8
17,-0.2943770609387707,-0.32588373130509485,-0.2608395384165951,7
18,-0.3076955189152081,-0.33389122943873656,-0.27795805189350464,6
19,-0.3315435460694801,-0.3617434483722423,-0.2949152409767936,5
20,-0.3594857210114927,-0.37811988568664834,-0.34085155633633707,4
21,-0.34863091848829786,-0.3614308237724128,-0.3348104883473189,3
22,-0.3216947258713291,-0.33542403038861096,-0.3079654213540472,2
23,-0.3125753583035607,-0.3125753583035607,-0.3125753583035607,1
